Name,Price,Buyers
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Boult X Mustang Newly Launched Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, IPX5 Wireless Headphones",2499.00,1492
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Boult X Mustang Newly Launched Torq TWS Earbuds with 60H Playtime, App Support, 4 Mics ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Touch Control, Made in India, IPX5 Ear buds Wireless (Yellow)",1499.00,4371
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),298.00,414734
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)",1499.00,115457
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",898.00,98161
"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Controls, IPX5 Wireless Headphones (Black)",1999.00,1492
"ZEBRONICS Thunder Bluetooth 5.3 Wireless Over Ear Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Sea Green)",799.00,78782
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",1399.00,115457
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",2799.00,19332
Sony MDR-ZX310AP Wired Headphones with Mic for Calls- Blue,949.00,725
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Boult Newly Launched Flex Over Ear Bluetooth Headphones with 80H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, 60ms Low Latency, IPX5 (Black)",1799.00,148
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 40 Hours Playtime, Bluetooth 5.3, Workout/Travel (Black)",1874.00,3158
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",998.00,209204
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Aqua Blue)",1499.00,115457
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",740.00,78782
"boAt Rockerz 425 Bluetooth Wireless On Ear Headphones Signature Sound, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2, Dual Pairing with Mic (Ash Grey)",1299.00,3191
"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Black",4413.00,17500
"ZEBRONICS Aeon Wireless Over Ear Headphone with 110H Battery Backup, Supports Bluetooth & Aux, Gaming Mode, Enc, Dual Pairing, Rapid Charging (Beige)",999.00,14706
Logitech H111 Wired On Ear Headphones With Mic Black,695.00,18347
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Green)",159.00,56763
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Philips Audio TAH4209WT/00 Bluetooth Headphone with Lightweight and Fodable Design, 32mm Neodynamic Drivers, 55H Playtime, USB Type-C Fast Charging, Built-in Mic for Smartphone, Laptop, Tablet (White)",2969.00,163
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Noise Two Wireless On-Ear Headphones with 50 Hours Playtime, Low Latency(up to 40ms), 4 Play Modes, Dual Pairing, BT v5.3 (Calm White)",1699.00,3025
